RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
0.495443,0.510504,0.853007,0.374517,0.5338,0.323864,0.449111,0,0.378378,'build wind non-float'
0.492839,0.831933,0.173719,0.559846,0.522145,0,0.73021,0,0,tableware
0.454427,0.464286,0.868597,0.432432,0.482517,0.3125,0.465267,0,0.27027,'build wind non-float'
0.761068,0.478992,0.797327,0.204633,0.403263,0.068182,0.765751,0,0.081081,'build wind float'
0.339193,0.531513,0.7951,0.455598,0.51049,0.363636,0.408724,0,0,'build wind non-float'
0.414714,0.321429,0.783964,0.440154,0.67366,0.323864,0.502423,0,0,'build wind float'
0.054688,0.411765,0.772829,0.320463,0.634033,0.352273,0.471729,0,0.837838,'build wind float'
0.335286,0.422269,0.757238,0.374517,0.641026,0.295455,0.508885,0,0,'vehic wind float'
0.384115,0.386555,0.775056,0.401544,0.648019,0.318182,0.484653,0,0,'build wind float'
0.411458,0.371849,0.815145,0.378378,0.641026,0.340909,0.505654,0,0,'build wind float'
0.397786,0.470588,0.806236,0.366795,0.657343,0.3125,0.426494,0,0,'build wind float'
0.648437,0.691176,0.868597,0.208494,0.289044,0,0.655897,0,0,'vehic wind float'
0.421875,0.457983,0.755011,0.401544,0.582751,0.335227,0.510501,0,0,'build wind float'
0.677083,0.111345,0.418708,0.490347,0.606061,0.267045,0.966074,0,0,containers
0.435547,0.563025,0.875278,0.482625,0.361305,0.306818,0.449111,0,0.405405,'build wind non-float'
0.402995,0.37605,0.790646,0.46332,0.58042,0.306818,0.499192,0,0.513514,'build wind float'
0.412109,0.409664,0.788419,0.355212,0.638695,0.369318,0.500808,0,0,'build wind float'
0.68099,0.571429,0.224944,0.413127,0.449883,0.1875,0.922456,0,0,'build wind non-float'
0.334635,0.821429,0,0.610039,0.664336,0,0.523425,0.479167,0,headlamps
0.426432,0.357143,0.76392,0.34749,0.62704,0.352273,0.537964,0,0.810811,'build wind float'
0.664714,0.439076,0.797327,0.235521,0.452214,0.130682,0.709208,0,0.432432,'build wind float'
0.52474,0.579832,0.536748,0.34749,0.582751,0,0.701131,0,0,tableware
0.249349,0.802521,0,0.822394,0.806527,0,0.478191,0.194444,0,headlamps
0.677734,0.514706,0.832962,0.235521,0.407925,0.102273,0.675283,0,0.189189,'build wind float'
0.391276,0.823529,0,0.583012,0.636364,0,0.513732,0.538194,0,headlamps
0.578776,0.619748,0.300668,0.517375,0.34965,0.221591,0.828756,0,0.486486,'build wind non-float'
0.308594,0.392857,0.766147,0.447876,0.652681,0.25,0.458805,0,0,'build wind non-float'
0.466146,0.434874,0.884187,0.34749,0.508159,0.340909,0.484653,0,0,'build wind non-float'
0.410156,0.60084,0.801782,0.413127,0.575758,0.272727,0.387722,0,0,'build wind float'
0.352865,0.476891,0.81069,0.478764,0.529138,0.369318,0.420032,0,0.783784,'build wind non-float'
0.803385,1,0.407572,0.393822,0.039627,0.176136,0.513732,0.583333,0,headlamps
0.360677,0.817227,0,0.656371,0.652681,0,0.479806,0.552083,0,headlamps
0.343099,0.792017,0,0.656371,0.664336,0,0.46042,0.59375,0,headlamps
0.376302,0.413866,0.772829,0.579151,0.573427,0.375,0.444265,0,0,'build wind non-float'
0.388021,0.771008,0,0.791506,0.703963,0,0.568659,0.229167,0,headlamps
0.499349,0.535714,0.746102,0.362934,0.424242,0.335227,0.562197,0,0,'build wind float'
0.545573,0.338235,0,0.525097,0.81352,0.215909,0.98546,0,0,containers
0.448568,0.334034,0.614699,0.208494,0.827506,0.198864,0.644588,0,0.540541,'build wind non-float'
0.316406,0.823529,0,0.764479,0.708625,0,0.529887,0.232639,0,headlamps
0.507813,0.602941,0.830735,0.343629,0.433566,0.034091,0.558966,0,0,'build wind float'
0.338542,0.703782,0,0.637066,0.780886,0,0.49273,0.545139,0,headlamps
0.366536,0.384454,0.797327,0.393822,0.547786,0.346591,0.542811,0,0,'vehic wind float'
0.770833,0.506303,0.743875,0.362934,0.494172,0.340909,0.549273,0,0,headlamps
0.610026,0.529412,0.465479,0.532819,0.447552,0.301136,0.668821,0.09375,0.459459,'build wind non-float'
0.460286,0.691176,0.726058,0.745174,0.230769,0.829545,0.058158,0.565972,0,headlamps
0.447266,0.565126,0,0.104247,0.97669,0,0.898223,0,0,'build wind non-float'
0.415365,0.298319,0.603563,0.3861,0.801865,0.318182,0.58643,0,0.648649,'build wind float'
0.344401,0.411765,0.708241,0.362934,0.631702,0.329545,0.546042,0,0.648649,'build wind non-float'
0.298177,0.388655,0.76392,0.428571,0.703963,0.392045,0.423263,0,0.648649,'build wind float'
0.832682,0.588235,0.64588,0.339768,0.207459,0.045455,0.865913,0,0,'build wind non-float'
0.643229,0.407563,0.073497,0.471042,0.729604,0.073864,0.943457,0,0.756757,containers
0.401693,0.384454,0.792873,0.378378,0.687646,0.306818,0.476575,0,0.459459,'build wind float'
0.320313,0.653361,0,1,0.547786,0.045455,0.605816,0.368056,0,headlamps
0.63151,0.548319,1,0.312741,0.354312,0.034091,0.536349,0,0,'build wind float'
0.411458,0.331933,0.799555,0.393822,0.706294,0.329545,0.495961,0,0,'build wind float'
0.302734,0.418067,0.792873,0.482625,0.664336,0.409091,0.399031,0,0,'build wind non-float'
0.353516,0.369748,0.783964,0.482625,0.722611,0.375,0.399031,0,0,'build wind non-float'
0.608073,0.69958,0,0.667954,0.736597,0,0.486268,0.569444,0,headlamps
0.414714,0.340336,0.792873,0.389961,0.657343,0.346591,0.526656,0,0.378378,'build wind float'
0.406901,0.445378,0.804009,0.293436,0.694639,0.323864,0.453958,0,0,'build wind float'
0.405599,0.514706,0.832962,0.339768,0.636364,0.335227,0.420032,0,0,'build wind float'
0.377604,0.390756,0.806236,0.494208,0.629371,0.346591,0.432956,0,0,'build wind non-float'
0.702474,0.567227,0.855234,0.166023,0.34965,0.096591,0.696284,0,0,'build wind float'
0.301432,0.432773,0.783964,0.486486,0.608392,0.386364,0.423263,0,0.243243,'build wind non-float'
0.42513,0.346639,0.817372,0.335907,0.664336,0.346591,0.528271,0,0,'build wind float'
0.50651,0.60084,0.786192,0.397683,0.361305,0.289773,0.541195,0.038194,0,'build wind float'
0.550781,0.584034,0.797327,0.397683,0.340326,0.068182,0.523425,0.239583,0,'build wind float'
0.348307,0.384454,0,0.594595,0.843823,0.551136,0.765751,0,0,containers
0.325521,0.485294,0.7951,0.494208,0.608392,0.346591,0.397415,0,0,'build wind non-float'
0.482422,0.39916,0.815145,0.490347,0.524476,0.329545,0.504039,0,0.324324,'build wind non-float'
0.375651,0.565126,0.819599,0.586873,0.41958,0.363636,0.3958,0,0,'build wind non-float'
0.61849,0.577731,0.507795,0.440154,0.403263,0.278409,0.714055,0,0.459459,'build wind non-float'
0.288411,0.804622,0.817372,0.559846,0.375291,0.090909,0.311793,0,0.324324,'build wind non-float'
0.44401,0.504202,0.886414,0.343629,0.519814,0.329545,0.439418,0,0,'build wind non-float'
0,0.558824,0.712695,0.586873,0.594406,1,0,0.413194,0,headlamps
0.713542,0.659664,0.848552,0.189189,0.254079,0,0.688207,0,0,'build wind float'
0.442708,0.483193,0.857461,0.370656,0.587413,0.295455,0.434572,0,0,'build wind non-float'
0.341146,0.5,0.755011,0.382239,0.554779,0.295455,0.520194,0,0,'vehic wind float'
0.403646,0.37395,0.7951,0.409266,0.643357,0.352273,0.510501,0,0,'build wind float'
0.245443,0.865546,0,0.756757,0.755245,0,0.470113,0.21875,0,headlamps
0.510417,0.357143,0.412027,0.606178,0.566434,0.340909,0.752827,0,0,containers
0.54362,0.785714,0.835189,0,0.410256,0.017045,0.576737,0,0,'build wind float'
0.464193,0.466387,0.837416,0.397683,0.498834,0.329545,0.483037,0,0,'build wind non-float'
0.677734,0.521008,0.859688,0.227799,0.356643,0.130682,0.663974,0,0.297297,'build wind float'
0.306641,0.802521,0,0.80695,0.703963,0,0.537964,0.222222,0.243243,headlamps
0.704427,0.668067,0.85078,0.069498,0.351981,0.0625,0.668821,0,0,'build wind float'
0.401042,0.380252,0.77951,0.328185,0.701632,0.318182,0.504039,0,0,'build wind float'
0.460937,0.382353,0.817372,0.366795,0.538462,0.352273,0.52504,0,0.945946,'build wind non-float'
0.335286,0.5,0.790646,0.370656,0.594406,0.386364,0.431341,0,0,'build wind non-float'
0.311198,0.836134,0,0.857143,0.65035,0.028409,0.549273,0.184028,0,headlamps
0.348958,0.401261,0.804009,0.374517,0.58042,0.318182,0.512116,0,0,'build wind non-float'
0.297526,0.439076,0.759465,0.498069,0.699301,0.039773,0.478191,0,0.513514,'build wind non-float'
1,0.621849,0.824053,0.162162,0.305361,0.011364,0.709208,0,0.27027,'build wind float'
0.455729,0.705882,0,0.590734,0.606061,0.801136,0.168013,1,0,headlamps
0.51237,0.632353,0.797327,0.416988,0.424242,0.318182,0.463651,0,0,'build wind float'
0.313802,0.598739,0.396437,0.579151,0.662005,0,0.523425,0.263889,0,headlamps
0.693359,0.69958,0.857461,0.23166,0.25641,0.085227,0.600969,0,0,'build wind float'
0.451172,0.386555,0.775056,0.3861,0.62704,0.340909,0.484653,0,0,'build wind float'
0.664062,0,0.380846,0.490347,0.741259,0.329545,1,0,0,containers
0.545573,0.741597,0,0.104247,0.750583,0,0.93538,0,0,tableware
0.317057,0.415966,0.77951,0.459459,0.613054,0.340909,0.434572,0,0,'build wind non-float'
0.334635,0.497899,0.777283,0.474903,0.55711,0.380682,0.42811,0,0.27027,'build wind non-float'
0.432943,0.518908,0.74833,0.517375,0.391608,0.323864,0.546042,0,0.243243,'vehic wind float'
0.710286,0.714286,0,0.274131,0.561772,0.056818,0.983845,0,0.216216,'build wind non-float'
0.424479,0.348739,0.788419,0.405405,0.62704,0.323864,0.536349,0,0,'build wind float'
0.377604,0.672269,0,0.69112,0.722611,0,0.515347,0.579861,0,headlamps
0.39388,0.367647,0.806236,0.3861,0.589744,0.335227,0.528271,0,0,'build wind float'
0.440755,0.504202,0.639198,0.34749,0.601399,0.3125,0.581583,0,0,'build wind float'
0.350911,0.464286,0.7951,0.420849,0.568765,0.318182,0.486268,0,0.27027,'vehic wind float'
0.500651,0.516807,0.775056,0.409266,0.393939,0.3125,0.576737,0,0,'build wind float'
0.421224,0.457983,0.625835,0.3861,0.634033,0.289773,0.579968,0,0.243243,'build wind float'
0.503906,0.62395,0.532294,0.490347,0.491841,0,0.668821,0,0,tableware
0.260417,0.703782,0,0.915058,0.662005,0.022727,0.589661,0.222222,0,headlamps
0.511068,0.655462,0,0.694981,0.578089,0,0.880452,0,0,tableware
0.46224,0.418067,0.806236,0.297297,0.484848,0.363636,0.597738,0,0.405405,'build wind non-float'
0.298828,0.418067,0.797327,0.471042,0.666667,0.392045,0.408724,0,0,'build wind non-float'
0.300781,0.466387,0.768374,0.440154,0.678322,0.346591,0.392569,0,0,'build wind non-float'
0.33138,0.319328,0.775056,0.610039,0.692308,0.357955,0.42811,0,0.243243,'build wind non-float'
0.346354,0.39916,0.788419,0.513514,0.629371,0.363636,0.420032,0,0.567568,'build wind non-float'
0.363932,0.483193,0.788419,0.509653,0.531469,0.386364,0.432956,0,0,'build wind non-float'
0.480469,0.453782,0.750557,0.343629,0.573427,0.323864,0.549273,0,0.432432,'build wind float'
0.419922,0.52521,0.759465,0.474903,0.414918,0.329545,0.542811,0,0,'vehic wind float'
0.419271,0.382353,0.775056,0.362934,0.631702,0.346591,0.505654,0.03125,0.594595,'build wind float'
0.474609,0.489496,0.76392,0.440154,0.4662,0.289773,0.512116,0,0,'build wind non-float'
0.383464,0.493697,0.77951,0.332046,0.60373,0.284091,0.484653,0,0,'build wind float'
0.320313,0.665966,0,0.965251,0.745921,0.022727,0.583199,0.138889,0.243243,headlamps
0.317057,0.52521,0.790646,0.482625,0.636364,0.221591,0.379645,0,0,'build wind float'
0.410156,0.37395,0.788419,0.362934,0.694639,0.329545,0.478191,0,0,'build wind float'
0.311849,0.502101,0.757238,0.359073,0.566434,0.335227,0.466882,0,0,'vehic wind float'
0.30013,0.384454,0.783964,0.706564,0.559441,0.392045,0.410339,0,0,'build wind non-float'
0.313802,0.607143,0.783964,0.370656,0.610723,0.210227,0.405493,0,0.378378,'build wind non-float'
0.363281,0.344538,0.641425,0.548263,0.687646,0.414773,0.502423,0,0,'build wind non-float'
0.469401,0.642857,0.487751,0.528958,0.561772,0,0.628433,0,0,tableware
